,Credit_History,LoanAmount,ApplicantIncome,Loan_Status
74,1.0,187.0,5266,Y
75,1.0,113.0,3750,N
76,1.0,176.0,3750,N
77,1.0,110.0,1000,N
78,0.0,180.0,3167,N
79,1.0,130.0,3333,Y
80,1.0,111.0,3846,Y
81,1.0,128.0,2395,Y
82,1.0,167.0,1378,N
83,1.0,265.0,6000,N
84,1.0,50.0,3988,Y
85,1.0,136.0,2366,Y
86,1.0,99.0,3333,Y
87,1.0,104.0,2500,Y
88,1.0,210.0,8566,Y
89,1.0,175.0,5695,Y
90,1.0,131.0,2958,Y
91,1.0,188.0,6250,Y
92,1.0,81.0,3273,Y
93,1.0,122.0,4133,Y
94,1.0,25.0,3620,Y
95,1.0,128.0,6782,N
96,1.0,137.0,2484,Y
97,1.0,50.0,1977,Y
98,1.0,115.0,4188,Y
99,1.0,131.0,1759,Y
100,1.0,133.0,4288,Y
101,1.0,151.0,4843,Y
102,1.0,128.0,13650,Y
103,1.0,128.0,4652,Y
104,1.0,160.0,3816,Y
105,1.0,100.0,3052,Y
106,1.0,225.0,11417,Y
107,1.0,120.0,7333,N
108,0.0,216.0,3800,N
109,1.0,94.0,2071,Y
110,1.0,136.0,5316,Y
111,1.0,139.0,2929,Y
112,0.0,152.0,3572,N
113,1.0,128.0,7451,Y
114,1.0,118.0,5050,Y
115,1.0,185.0,14583,Y
116,1.0,154.0,3167,Y
117,1.0,85.0,2214,Y
118,1.0,175.0,5568,N
119,1.0,259.0,10408,Y
120,1.0,180.0,5667,Y
121,1.0,44.0,4166,Y
122,0.0,137.0,2137,Y
123,1.0,81.0,2957,Y
124,1.0,194.0,4300,Y
125,1.0,93.0,3692,Y
126,1.0,370.0,23803,Y
127,1.0,128.0,3865,Y
128,0.0,160.0,10513,N
129,1.0,182.0,6080,N
130,1.0,650.0,20166,Y
131,1.0,74.0,2014,Y
132,1.0,70.0,2718,Y
133,1.0,25.0,3459,Y
134,1.0,102.0,4895,Y
135,1.0,290.0,4000,N
136,1.0,84.0,4583,N
137,1.0,88.0,3316,Y
138,0.0,242.0,14999,N
139,1.0,129.0,4200,N
140,1.0,185.0,5042,N
141,1.0,168.0,5417,Y
142,1.0,175.0,6950,Y
143,1.0,122.0,2698,Y
144,1.0,187.0,11757,Y
145,1.0,100.0,2330,Y
146,1.0,70.0,14866,Y
147,1.0,30.0,1538,Y
148,1.0,225.0,10000,N
149,1.0,125.0,4860,Y
150,0.0,118.0,6277,N
151,1.0,152.0,2577,Y
152,1.0,244.0,9166,N
153,1.0,113.0,2281,N
154,1.0,50.0,3254,Y
155,0.0,600.0,39999,Y
156,1.0,160.0,6000,Y
157,1.0,187.0,9538,Y
158,1.0,120.0,2980,Y
159,1.0,255.0,4583,Y
160,1.0,98.0,1863,Y
161,1.0,275.0,7933,N
162,0.0,121.0,3089,N
163,1.0,158.0,4167,Y
164,1.0,75.0,9323,Y
165,1.0,182.0,3707,Y
166,1.0,112.0,4583,N
167,1.0,129.0,2439,Y
168,0.0,63.0,2237,N
169,1.0,200.0,8000,Y
170,1.0,95.0,1820,Y
171,1.0,700.0,51763,Y
172,1.0,81.0,3522,N
173,1.0,187.0,5708,Y
174,1.0,87.0,4344,N
175,1.0,116.0,3497,Y
176,1.0,101.0,2045,Y
177,0.0,495.0,5516,N
178,1.0,116.0,3750,Y
179,0.0,102.0,2333,N
180,0.0,180.0,6400,N
181,1.0,67.0,1916,N
182,1.0,73.0,4600,Y
183,1.0,260.0,33846,N
184,1.0,108.0,3625,Y
185,1.0,120.0,39147,Y
186,0.0,66.0,2178,N
187,1.0,58.0,2383,Y
188,1.0,168.0,674,Y
189,1.0,188.0,9328,Y
190,1.0,48.0,4885,Y
191,1.0,164.0,12000,N
192,1.0,160.0,6033,N
193,1.0,76.0,3858,Y
194,1.0,120.0,4191,Y
195,1.0,170.0,3125,N
196,1.0,187.0,8333,Y
197,1.0,120.0,1907,Y
198,1.0,113.0,3416,Y
199,1.0,83.0,11000,N
200,1.0,90.0,2600,Y
201,0.0,166.0,4923,Y
202,1.0,128.0,3992,N
203,1.0,135.0,3500,Y
204,1.0,124.0,3917,Y
205,1.0,120.0,4408,Y
206,1.0,80.0,3244,Y
207,1.0,55.0,3975,Y
208,1.0,59.0,2479,Y
209,1.0,127.0,3418,N
210,1.0,214.0,10000,N
211,0.0,128.0,3430,N
212,1.0,240.0,7787,Y
213,1.0,130.0,5703,Y
214,1.0,137.0,3173,Y
215,1.0,100.0,3850,Y
216,1.0,135.0,150,N
217,1.0,131.0,3727,Y
218,0.0,72.0,5000,N
219,1.0,127.0,4283,Y
220,0.0,60.0,2221,N
221,1.0,116.0,4009,Y
222,1.0,144.0,2971,Y
223,1.0,175.0,7578,Y
224,1.0,128.0,6250,Y
225,1.0,170.0,3250,N
226,1.0,138.0,4735,N
227,1.0,210.0,6250,Y
228,1.0,158.0,4758,Y
229,1.0,200.0,6400,Y
230,1.0,104.0,2491,Y
231,1.0,42.0,3716,Y
232,1.0,120.0,3189,Y
233,1.0,280.0,8333,Y
234,1.0,140.0,3155,Y
235,1.0,170.0,5500,Y
236,1.0,255.0,5746,N
237,1.0,122.0,3463,Y
238,1.0,112.0,3812,Y
239,1.0,96.0,3315,Y
240,1.0,120.0,5819,Y
241,1.0,140.0,2510,N
242,1.0,155.0,2965,Y
243,1.0,108.0,6250,Y
244,1.0,123.0,3406,Y
245,1.0,120.0,6050,N
246,1.0,112.0,9703,Y
247,1.0,137.0,6608,Y
248,1.0,123.0,2882,Y
249,1.0,90.0,1809,Y
250,0.0,201.0,1668,N
251,1.0,138.0,3427,N
252,1.0,104.0,2583,Y
253,1.0,279.0,2661,Y
254,0.0,192.0,16250,N
255,1.0,255.0,3083,Y
256,0.0,115.0,6045,N
257,1.0,94.0,5250,N
258,1.0,304.0,14683,N
259,1.0,128.0,4931,N
260,1.0,330.0,6083,Y
261,1.0,134.0,2060,Y
262,1.0,155.0,3481,N
263,1.0,120.0,7200,Y
264,1.0,128.0,5166,Y
265,1.0,151.0,4095,Y
266,1.0,150.0,4708,Y
267,0.0,160.0,4333,Y
268,1.0,135.0,3418,N
269,1.0,90.0,2876,Y
270,1.0,30.0,3237,Y
271,1.0,136.0,11146,Y
272,1.0,126.0,2833,Y
273,1.0,150.0,2620,Y
274,1.0,90.0,3900,Y
275,1.0,115.0,2750,Y
276,1.0,207.0,3993,Y
277,1.0,80.0,3103,Y
278,1.0,436.0,14583,Y
279,1.0,124.0,4100,Y
280,0.0,158.0,4053,N
281,1.0,112.0,3927,Y
282,1.0,78.0,2301,Y
283,1.0,54.0,1811,Y
284,1.0,128.0,20667,N
285,1.0,89.0,3158,Y
286,1.0,99.0,2600,N
287,1.0,120.0,3704,Y
288,1.0,115.0,4124,Y
289,1.0,187.0,9508,Y
290,1.0,139.0,3075,Y
291,0.0,127.0,4400,N
292,1.0,134.0,3153,Y
293,0.0,143.0,5417,N
294,1.0,172.0,2383,Y
295,1.0,110.0,4416,Y
296,1.0,200.0,6875,Y
297,1.0,135.0,4666,Y
298,1.0,151.0,5000,N
299,1.0,113.0,2014,N
300,0.0,93.0,1800,N
301,1.0,105.0,2875,Y
302,1.0,132.0,5000,Y
303,1.0,96.0,1625,Y
304,1.0,140.0,4000,Y
305,1.0,128.0,2000,N
306,1.0,135.0,3762,Y
307,0.0,104.0,2400,N
308,1.0,480.0,20233,N
309,1.0,185.0,7667,Y
310,1.0,84.0,2917,Y
311,1.0,111.0,2927,Y
312,1.0,56.0,2507,Y
313,1.0,144.0,5746,Y
314,1.0,159.0,2473,N
315,1.0,111.0,3399,Y
316,1.0,120.0,3717,Y
317,1.0,88.0,2058,Y
318,1.0,112.0,3541,Y
319,1.0,155.0,10000,N
320,1.0,115.0,2400,Y
321,1.0,124.0,4342,Y
322,1.0,128.0,3601,Y
323,1.0,132.0,3166,Y
324,1.0,300.0,15000,Y
325,0.0,376.0,8666,N
326,0.0,130.0,4917,Y
327,1.0,184.0,5818,Y
328,1.0,110.0,4333,N
329,1.0,67.0,2500,Y
330,1.0,117.0,4384,Y
331,1.0,98.0,2935,Y
332,1.0,71.0,2833,Y
333,1.0,490.0,63337,Y
334,1.0,182.0,9833,Y
335,1.0,70.0,5503,Y
336,1.0,160.0,5250,Y
337,1.0,176.0,2500,Y
338,0.0,128.0,1830,N
339,1.0,71.0,4160,Y
340,1.0,173.0,2647,N
341,1.0,46.0,2378,N
342,1.0,158.0,4554,Y
343,1.0,74.0,3173,Y
344,1.0,125.0,2583,Y
345,1.0,160.0,2499,Y
346,0.0,152.0,3523,N
347,1.0,126.0,3083,Y
348,1.0,259.0,6333,Y
349,1.0,187.0,2625,Y
350,1.0,228.0,9083,Y
351,1.0,308.0,8750,N
352,1.0,95.0,2666,Y
353,0.0,105.0,5500,N
354,1.0,130.0,2423,Y
355,1.0,116.0,3813,Y
356,1.0,165.0,8333,Y
357,1.0,67.0,3875,N
358,0.0,100.0,3000,N
359,1.0,200.0,5167,Y
360,1.0,81.0,4723,N
361,1.0,236.0,5000,Y
362,1.0,130.0,4750,Y
363,1.0,95.0,3013,Y
364,1.0,141.0,6822,Y
365,1.0,133.0,6216,N
366,1.0,96.0,2500,N
367,0.0,124.0,5124,N
368,1.0,175.0,6325,Y
369,1.0,570.0,19730,N
370,1.0,55.0,15759,Y
371,1.0,155.0,5185,Y
372,1.0,380.0,9323,Y
373,0.0,111.0,3062,N
374,1.0,110.0,2764,Y
375,1.0,120.0,4817,Y
376,1.0,130.0,8750,Y
377,1.0,130.0,4310,Y
378,1.0,71.0,3069,N
379,1.0,130.0,5391,Y
380,1.0,128.0,3333,Y
381,1.0,296.0,5941,Y
382,1.0,156.0,6000,Y
383,1.0,128.0,7167,Y
384,1.0,100.0,4566,N
385,1.0,113.0,3667,Y
386,1.0,132.0,2346,Y
387,0.0,128.0,3010,N
388,1.0,136.0,2333,Y
389,1.0,125.0,5488,Y
390,1.0,185.0,9167,Y
391,1.0,275.0,9504,Y
392,1.0,120.0,2583,Y
393,1.0,113.0,1993,Y
394,1.0,113.0,3100,Y
395,1.0,135.0,3276,Y
396,0.0,71.0,3180,N
397,1.0,95.0,3033,Y
398,1.0,109.0,3902,Y
399,0.0,103.0,1500,N
400,0.0,45.0,2889,N
401,1.0,65.0,2755,N
402,1.0,103.0,2500,Y
403,1.0,53.0,1963,Y
404,1.0,194.0,7441,N
405,1.0,115.0,4547,Y
406,1.0,115.0,2167,Y
407,1.0,66.0,2213,Y
408,0.0,152.0,8300,N
409,0.0,360.0,81000,N
410,1.0,62.0,3867,N
411,1.0,160.0,6256,Y
412,0.0,218.0,6096,N
413,1.0,110.0,2253,Y
414,0.0,178.0,2149,N
415,1.0,60.0,2995,Y
416,1.0,160.0,2600,N
417,1.0,239.0,1600,N
418,1.0,112.0,1025,Y
419,1.0,138.0,3246,Y
420,1.0,138.0,5829,Y
421,0.0,80.0,2720,N
422,1.0,100.0,1820,Y
423,0.0,110.0,7250,N
424,1.0,96.0,14880,Y
425,1.0,121.0,2666,Y
426,1.0,81.0,4606,N
427,1.0,133.0,5935,Y
428,1.0,87.0,2920,Y
429,1.0,60.0,2717,Y
430,1.0,150.0,8624,Y
431,0.0,105.0,6500,N
432,1.0,405.0,12876,Y
433,1.0,143.0,2425,Y
434,1.0,100.0,3750,Y
435,1.0,128.0,10047,Y
436,1.0,50.0,1926,Y
437,1.0,128.0,2213,Y
438,0.0,187.0,10416,N
439,1.0,138.0,7142,Y
440,1.0,187.0,3660,Y
441,1.0,180.0,7901,Y
442,1.0,148.0,4707,Y
443,1.0,152.0,37719,Y
444,1.0,175.0,7333,Y
445,1.0,130.0,3466,Y
446,1.0,110.0,4652,Y
447,1.0,55.0,3539,N
448,0.0,150.0,3340,N
449,1.0,190.0,2769,N
450,0.0,125.0,2309,N
451,1.0,60.0,1958,Y
452,0.0,149.0,3948,N
453,0.0,90.0,2483,Y
454,1.0,84.0,7085,Y
455,1.0,96.0,3859,Y
456,1.0,118.0,4301,Y
457,1.0,173.0,3708,N
458,1.0,136.0,4354,Y
459,1.0,160.0,8334,N
460,1.0,160.0,2083,Y
461,1.0,128.0,7740,Y
462,1.0,153.0,3015,Y
463,1.0,132.0,5191,Y
464,0.0,98.0,4166,N
465,1.0,140.0,6000,Y
466,0.0,70.0,2947,N
467,1.0,110.0,16692,Y
468,1.0,98.0,210,Y
469,1.0,110.0,4333,N
470,1.0,162.0,3450,Y
471,0.0,113.0,2653,N
472,1.0,100.0,4691,Y
473,1.0,93.0,2500,Y
474,1.0,162.0,5532,Y
475,1.0,150.0,16525,Y
476,1.0,230.0,6700,Y
477,0.0,132.0,2873,N
478,1.0,86.0,16667,Y
479,1.0,128.0,2947,N
480,1.0,154.0,4350,Y
481,1.0,113.0,3095,Y
482,1.0,128.0,2083,Y
483,1.0,234.0,10833,Y
484,1.0,246.0,8333,Y
485,1.0,131.0,1958,Y
486,0.0,80.0,3547,N
487,1.0,500.0,18333,N
488,1.0,160.0,4583,Y
489,1.0,75.0,2435,N
490,1.0,96.0,2699,Y
491,1.0,186.0,5333,Y
492,1.0,110.0,3691,Y
493,1.0,225.0,17263,Y
494,0.0,119.0,3597,N
495,1.0,105.0,3326,Y
496,1.0,107.0,2600,Y
497,1.0,111.0,4625,Y
498,1.0,95.0,2895,Y
499,0.0,209.0,6283,N
500,1.0,113.0,645,Y
501,1.0,100.0,3159,Y
502,1.0,208.0,4865,Y
503,1.0,138.0,4050,N
504,1.0,124.0,3814,Y
505,1.0,243.0,3510,Y
506,1.0,480.0,20833,Y
507,1.0,96.0,3583,N
508,1.0,188.0,2479,Y
509,1.0,40.0,13262,Y
510,1.0,100.0,3598,N
511,1.0,250.0,6065,Y
512,1.0,148.0,3283,Y
513,1.0,70.0,2130,N
514,1.0,311.0,5815,N
515,1.0,150.0,3466,Y
516,1.0,113.0,2031,Y
517,0.0,123.0,3074,N
518,1.0,185.0,4683,N
519,1.0,95.0,3400,N
520,1.0,45.0,2192,Y
521,1.0,55.0,2500,Y
522,1.0,100.0,5677,Y
523,1.0,480.0,7948,Y
524,1.0,128.0,4680,N
525,1.0,400.0,17500,Y
526,1.0,110.0,3775,Y
527,0.0,161.0,5285,Y
528,1.0,94.0,2679,Y
529,1.0,130.0,6783,Y
530,1.0,216.0,1025,Y
531,1.0,100.0,4281,Y
532,0.0,110.0,3588,N
533,1.0,196.0,11250,N
534,1.0,125.0,18165,Y
535,1.0,126.0,2550,Y
536,1.0,324.0,6133,Y
537,1.0,107.0,3617,Y
538,1.0,66.0,2917,N
539,1.0,157.0,6417,Y
540,1.0,140.0,4608,Y
541,0.0,99.0,2138,N
542,1.0,95.0,3652,Y
543,1.0,128.0,2239,Y
544,1.0,102.0,3017,Y
545,1.0,155.0,2768,Y
546,1.0,80.0,3358,N
547,1.0,145.0,2526,Y
548,0.0,103.0,5000,N
549,1.0,110.0,2785,Y
550,0.0,128.0,6633,N
551,1.0,128.0,2492,Y
552,1.0,158.0,3333,Y
553,0.0,181.0,2454,N
554,0.0,132.0,3593,N
555,1.0,26.0,5468,Y
556,1.0,84.0,2667,Y
557,1.0,260.0,10139,Y
558,1.0,162.0,3887,Y
559,1.0,182.0,4180,Y
560,1.0,108.0,3675,Y
561,1.0,600.0,19484,Y
562,1.0,211.0,5923,Y
563,1.0,132.0,5800,Y
564,0.0,258.0,8799,N
565,1.0,120.0,4467,Y
566,1.0,70.0,3333,Y
567,0.0,123.0,3400,N
568,1.0,9.0,2378,N
569,0.0,104.0,3166,N
570,1.0,186.0,3417,Y
571,0.0,165.0,5116,N
572,1.0,275.0,16666,Y
573,1.0,187.0,6125,N
574,1.0,150.0,6406,N
575,1.0,108.0,3159,Y
576,0.0,136.0,3087,N
577,1.0,110.0,3229,Y
578,1.0,107.0,1782,Y
579,1.0,161.0,3182,Y
580,1.0,205.0,6540,Y
581,1.0,90.0,1836,N
582,1.0,36.0,3166,Y
583,1.0,61.0,1880,N
584,0.0,146.0,2787,N
585,1.0,172.0,4283,N
586,1.0,104.0,2297,Y
587,1.0,70.0,2165,Y
588,1.0,94.0,4750,Y
589,0.0,106.0,2726,N
590,1.0,56.0,3000,Y
591,1.0,205.0,6000,N
592,1.0,292.0,9357,Y
593,1.0,142.0,3859,Y
594,1.0,260.0,16120,Y
595,1.0,110.0,3833,Y
596,1.0,187.0,6383,N
597,0.0,88.0,2987,N
598,1.0,180.0,9963,Y
599,1.0,192.0,5780,Y
600,1.0,350.0,416,N
601,1.0,155.0,2894,Y
602,1.0,128.0,5703,Y
603,1.0,172.0,3676,Y
604,1.0,496.0,12000,Y
605,1.0,128.0,2400,N
606,1.0,173.0,3400,Y
607,1.0,157.0,3987,Y
608,1.0,108.0,3232,Y
609,1.0,71.0,2900,Y
610,1.0,40.0,4106,Y
611,1.0,253.0,8072,Y
612,1.0,187.0,7583,Y
613,0.0,133.0,4583,N
