Education,Family,Income,Mortgage,Age,Securities Account,CreditCard,target
1,1,121,167,52,0,0,
3,1,21,0,36,1,0,
1,3,41,0,34,0,1,
3,2,45,0,63,0,0,
3,3,51,0,24,0,0,
2,1,165,0,57,0,0,
2,2,119,0,40,0,0,
3,4,110,190,27,0,0,
2,3,20,0,65,0,1,
2,1,64,248,60,0,0,
2,3,101,82,44,0,0,
1,1,101,0,63,1,0,
1,1,99,0,59,0,0,
1,4,158,0,56,0,0,
2,1,89,0,54,0,1,
3,1,80,0,52,0,1,
1,2,114,402,58,0,0,
2,3,49,0,60,0,1,
1,1,191,0,28,0,0,
2,4,78,0,54,0,0,
1,3,28,0,32,0,0,
2,1,42,0,59,0,0,
1,1,140,0,63,0,0,
2,1,45,0,48,0,0,
1,2,122,360,56,0,1,
2,3,65,0,36,0,0,
3,1,68,0,57,0,0,
1,2,153,392,29,0,0,
2,4,89,0,39,0,0,
1,1,91,0,59,0,1,
2,4,55,185,31,0,0,
1,2,118,0,43,0,1,
3,1,22,103,35,0,0,
3,3,63,138,54,0,1,
2,4,12,78,51,1,0,
2,3,50,0,44,0,0,
3,2,43,0,25,1,1,
1,4,173,0,40,0,1,
1,2,60,132,26,0,0,
3,1,113,0,39,1,0,
2,4,155,0,28,0,0,
2,4,91,0,52,0,1,
2,4,55,0,53,0,0,
1,2,173,419,44,0,0,
3,3,71,0,43,0,1,
3,2,24,88,56,0,0,
2,1,42,81,38,0,0,
1,2,141,0,30,0,0,
3,1,32,0,32,0,0,
1,4,55,0,35,0,0,
1,2,153,0,43,0,0,
1,2,113,270,58,0,1,
2,2,30,0,25,0,0,
3,3,29,148,54,0,1,
2,1,174,466,57,0,0,
3,1,35,0,50,0,0,
2,2,98,175,32,0,0,
3,2,30,159,63,0,0,
1,2,58,0,31,0,1,
1,4,25,147,36,0,0,
1,4,19,0,58,0,0,
2,4,44,174,56,0,0,
1,4,20,111,49,0,1,
1,2,98,220,30,0,0,
1,3,90,0,33,0,0,
1,3,61,0,45,0,0,
2,4,40,0,30,0,0,
3,2,38,0,47,0,0,
2,2,28,0,25,0,0,
3,1,34,0,63,0,1,
3,2,73,0,55,0,1,
1,4,133,0,65,0,1,
1,1,53,0,44,0,0,
3,4,21,0,51,0,1,
1,3,40,0,35,0,0,
2,4,41,0,30,0,0,
2,4,82,0,31,0,0,
3,4,100,0,54,0,0,
1,1,155,0,45,0,1,
1,1,45,0,45,0,0,
3,3,9,0,58,0,1,
3,4,48,0,54,0,0,
3,4,18,109,53,1,1,
1,4,80,0,33,0,1,
1,2,64,0,60,0,0,
1,4,29,0,50,0,0,
2,3,48,0,26,0,0,
1,2,23,0,54,0,0,
1,4,84,0,28,0,1,
1,3,179,0,36,0,0,
2,4,30,112,29,0,1,
1,1,93,133,54,0,1,
2,2,39,0,55,0,0,
2,3,60,182,61,0,0,
1,1,133,290,36,1,1,
1,1,125,0,45,0,0,
3,1,58,0,64,0,0,
1,2,89,0,60,0,0,
2,1,82,125,49,0,0,
1,2,110,0,47,0,1,
3,4,54,0,60,1,0,
3,4,89,0,45,0,0,
1,3,42,0,32,0,0,
2,3,41,0,52,0,1,
2,4,38,124,35,0,0,
1,2,85,0,40,0,0,
2,4,83,0,53,0,0,
3,4,33,0,27,0,0,
1,4,50,0,58,0,1,
3,4,58,0,47,0,1,
2,4,115,0,28,0,0,
1,2,145,0,46,1,0,
1,2,161,0,43,0,0,
1,1,38,0,56,0,0,
1,4,28,0,28,0,0,
1,3,75,0,42,0,1,
1,3,35,116,32,0,1,
1,2,24,116,62,0,1,
2,4,78,0,37,0,0,
3,1,113,161,51,0,0,
1,3,75,224,39,0,0,
1,1,91,0,43,0,0,
1,4,31,141,52,0,1,
2,1,45,0,30,0,0,
1,3,80,0,52,0,0,
3,3,50,112,61,0,0,
2,4,31,0,36,1,0,
2,2,113,119,58,0,1,
1,4,29,0,47,0,0,
1,2,59,139,64,0,0,
2,1,43,0,52,1,0,
3,1,122,115,58,0,0,
1,1,29,0,48,0,0,
3,2,91,0,64,0,1,
3,3,65,0,58,0,0,
1,1,22,0,47,0,1,
3,1,71,0,49,0,0,
2,4,60,0,31,0,1,
3,3,60,0,61,0,0,
1,1,69,0,51,0,1,
3,2,48,89,28,0,0,
2,3,21,0,39,0,0,
2,4,53,0,54,1,0,
3,3,29,0,50,0,0,
2,4,60,0,30,0,0,
2,3,42,116,64,0,0,
3,3,69,0,29,0,0,
1,1,20,0,48,0,1,
1,2,200,458,35,0,0,
1,2,141,0,60,0,1,
1,2,81,0,55,1,0,
3,3,183,0,29,0,0,
2,2,149,0,48,1,0,
3,4,83,0,43,0,1,
2,1,35,172,66,0,0,
3,2,13,0,25,0,0,
1,1,39,0,45,0,1,
3,1,21,0,34,0,0,
3,2,10,0,48,0,1,
2,4,84,0,32,0,0,
1,4,30,161,50,0,1,
1,4,31,156,43,0,0,
2,1,182,547,64,0,0,
1,2,114,0,60,0,0,
2,3,152,0,43,0,0,
2,1,53,0,60,1,1,
2,4,24,78,64,0,0,
1,2,150,0,44,0,1,
1,2,132,470,60,0,1,
3,3,68,0,54,0,1,
1,1,53,0,33,0,1,
2,1,173,88,56,0,0,
2,3,30,0,29,0,0,
1,2,113,0,25,0,1,
2,1,15,0,60,0,0,
1,2,84,304,55,1,0,
2,4,88,0,39,0,1,
1,3,43,0,37,0,0,
3,2,43,0,53,0,1,
1,2,90,0,34,0,0,
1,4,34,104,42,1,0,
1,4,38,0,60,0,0,
1,1,173,0,50,0,1,
1,2,160,0,41,0,0,
2,4,44,0,25,0,1,
3,2,83,0,50,0,0,
3,4,94,0,48,0,0,
3,1,43,0,32,0,1,
2,3,42,0,50,0,0,
1,2,34,0,59,0,0,
2,3,39,0,50,0,0,
2,1,70,0,44,0,0,
3,4,39,185,31,0,1,
3,3,44,0,40,0,0,
2,3,69,0,36,0,0,
3,3,44,0,51,0,0,
3,3,32,0,64,0,0,
3,2,15,0,47,0,0,
1,2,118,112,52,0,0,
2,1,62,221,51,0,0,
2,4,82,0,31,0,0,
1,3,54,108,39,0,1,
3,1,48,0,30,0,0,
3,3,74,0,27,0,0,
3,1,113,211,41,0,1,
2,3,81,0,53,0,0,
2,3,43,169,54,0,0,
2,1,34,0,28,0,0,
3,1,48,105,34,0,0,
2,4,54,129,61,0,1,
2,4,75,0,48,0,0,
1,1,72,224,36,0,0,
1,4,39,0,56,0,0,
1,4,75,0,24,0,0,
1,2,79,179,64,0,0,
1,1,205,271,26,0,1,
1,2,65,89,33,0,0,
1,4,122,378,64,0,0,
2,1,82,0,39,0,0,
1,2,21,0,54,0,1,
3,4,50,0,32,1,1,
1,2,39,113,62,0,1,
1,1,101,0,27,0,0,
3,2,41,0,53,1,0,
1,1,132,0,51,0,0,
2,3,43,176,25,0,0,
3,1,131,0,44,0,0,
2,1,11,76,31,0,1,
3,1,21,117,57,0,0,
3,4,109,314,25,0,0,
1,2,141,0,30,0,0,
1,3,81,0,40,0,0,
1,3,54,90,63,0,1,
1,2,164,0,35,0,0,
1,4,28,87,43,0,0,
3,3,68,203,27,1,0,
3,3,44,180,44,1,1,
3,1,61,0,49,0,1,
2,3,35,0,61,0,1,
2,3,54,0,60,0,1,
1,1,14,0,59,0,1,
1,4,52,230,28,0,0,
1,2,101,0,52,0,0,
1,2,149,0,28,0,0,
1,4,35,137,34,0,1,
3,3,21,129,60,0,0,
1,2,118,0,39,0,1,
2,4,38,0,30,1,0,
1,4,24,138,49,0,0,
3,1,59,0,43,0,0,
3,4,41,0,63,0,0,
2,1,85,0,28,0,1,
1,4,12,0,51,0,0,
3,1,32,152,33,0,0,
1,3,79,0,55,0,0,
3,3,175,0,53,0,1,
1,3,28,0,34,0,0,
1,2,41,161,34,0,1,
1,3,70,185,40,0,0,
2,3,161,485,49,1,0,
2,4,53,0,35,0,0,
1,1,128,0,39,0,0,
2,3,50,0,55,0,1,
2,2,80,0,29,0,1,
2,1,93,0,54,0,0,
3,3,48,0,25,0,1,
1,2,149,0,52,0,0,
2,3,49,0,46,0,1,
2,1,88,0,57,0,0,
3,4,22,0,52,0,1,
1,4,55,0,28,0,1,
3,1,72,155,44,0,0,
2,2,38,0,24,0,0,
1,1,114,300,40,0,0,
3,4,83,0,34,0,0,
1,2,101,0,39,0,1,
1,1,94,272,50,0,0,
1,2,40,0,41,0,1,
1,1,128,0,31,0,0,
3,4,39,0,29,0,0,
1,1,51,0,30,0,0,
3,4,79,0,44,1,1,
2,4,48,0,33,0,0,
1,1,85,144,50,0,0,
1,1,41,94,42,0,0,
3,1,152,0,48,0,0,
1,2,125,0,24,1,1,
3,2,11,90,56,0,0,
1,2,103,0,28,0,1,
1,2,141,0,56,0,0,
1,1,38,0,58,0,1,
1,2,135,0,29,0,0,
2,2,28,89,63,0,0,
1,4,70,240,28,0,1,
1,1,41,0,57,0,1,
2,3,81,208,34,0,0,
3,1,170,0,28,0,0,
2,4,55,0,27,0,0,
3,4,24,0,37,0,0,
2,3,81,275,52,0,0,
1,4,32,83,49,0,0,
1,1,129,0,65,0,1,
1,1,108,0,60,1,0,
1,1,180,0,37,0,1,
1,2,139,0,63,0,0,
3,2,33,0,40,0,1,
3,4,74,0,46,0,0,
3,2,42,115,63,0,0,
3,1,73,0,57,0,0,
2,4,115,0,33,0,0,
2,2,114,0,41,0,0,
1,2,92,131,41,0,0,
3,1,34,78,44,0,0,
2,2,54,122,33,0,0,
3,2,64,211,52,0,0,
3,1,42,100,30,0,1,
1,3,70,0,45,0,0,
2,1,51,0,49,0,0,
1,4,71,218,45,0,1,
1,3,35,108,32,0,1,
2,3,40,0,45,0,0,
3,4,165,0,57,0,0,
3,1,18,0,61,0,1,
1,3,32,0,57,1,1,
1,3,35,169,60,0,0,
1,2,120,196,40,0,0,
3,4,31,0,53,0,0,
1,3,35,0,42,0,0,
3,2,32,0,62,0,1,
3,1,85,327,43,1,0,
1,2,139,0,35,0,0,
1,1,103,0,50,0,0,
1,2,152,0,45,0,0,
2,2,33,0,52,0,0,
2,4,84,322,35,0,0,
1,4,61,0,58,0,0,
1,4,64,123,62,1,1,
2,1,34,0,50,0,0,
3,4,82,0,25,0,0,
3,1,122,163,47,1,0,
1,3,58,131,28,0,0,
1,1,92,0,34,0,0,
2,2,78,205,49,0,1,
3,4,129,0,54,0,0,
3,2,13,0,50,0,0,
3,1,81,145,37,0,0,
3,1,23,0,38,0,0,
3,3,35,0,52,0,0,
2,4,79,0,63,0,1,
1,2,165,0,39,0,0,
1,2,52,0,63,0,0,
2,3,185,0,65,0,0,
2,3,49,0,46,0,0,
3,1,64,227,54,0,1,
3,4,61,0,54,1,0,
1,1,112,0,52,1,1,
3,3,72,190,63,1,0,
1,3,18,0,66,0,0,
2,4,41,0,56,0,0,
1,4,61,239,23,0,0,
2,1,105,282,65,1,0,
1,1,23,0,51,0,0,
3,1,22,85,34,0,0,
1,3,59,0,49,0,0,
2,1,33,160,29,0,0,
3,1,11,103,47,0,1,
1,2,204,0,46,0,0,
3,4,61,207,52,0,0,
2,3,103,364,55,0,0,
1,3,51,0,61,0,1,
3,1,164,0,34,0,0,
2,1,12,0,58,0,1,
2,1,82,0,40,0,0,
1,1,164,449,43,0,0,
2,2,48,0,35,0,0,
2,4,38,0,24,0,0,
2,2,65,0,48,0,0,
1,4,71,207,44,0,0,
1,1,18,0,54,1,0,
3,2,52,75,59,0,0,
2,3,48,113,45,0,1,
3,1,30,111,26,0,0,
3,2,40,107,40,0,0,
1,1,112,81,32,0,0,
1,1,115,0,29,0,0,
3,2,63,82,51,0,0,
3,1,85,0,42,0,0,
3,1,59,220,64,0,0,
3,1,68,91,44,0,0,
1,2,84,0,37,0,1,
3,3,62,0,44,0,1,
1,3,109,0,35,0,0,
1,2,141,92,41,0,0,
1,1,129,0,56,0,0,
2,3,30,0,62,0,0,
1,1,148,0,58,0,0,
2,3,25,0,47,0,1,
1,3,21,115,35,0,0,
1,4,72,0,29,0,0,
3,3,59,87,43,0,1,
2,3,83,187,62,1,0,
2,2,10,0,41,0,0,
2,3,84,0,34,0,0,
2,3,98,0,50,0,0,
1,1,32,0,47,1,1,
2,4,31,161,29,0,1,
1,3,94,0,59,0,1,
3,2,21,137,56,0,1,
1,3,110,0,61,1,0,
3,1,38,0,58,0,0,
3,1,39,0,49,0,0,
2,3,132,0,45,0,1,
1,4,61,0,50,0,0,
1,1,92,0,64,0,0,
1,2,119,0,39,0,0,
1,4,53,0,58,0,0,
2,3,18,0,62,0,0,
2,2,114,0,45,0,0,
3,1,90,0,58,0,1,
1,1,140,205,43,0,0,
1,2,90,0,28,0,1,
1,1,85,0,26,0,0,
1,1,80,0,49,0,0,
1,2,53,0,66,0,1,
2,4,49,0,33,0,0,
3,3,152,0,61,0,0,
2,2,138,0,64,0,0,
2,4,80,0,36,0,0,
2,2,82,0,49,0,0,
1,1,195,0,52,0,0,
3,1,22,0,61,0,0,
1,1,81,0,32,0,0,
1,4,40,0,61,1,1,
1,2,154,0,45,1,0,
2,3,49,0,30,0,1,
2,4,85,0,62,0,0,
2,3,21,0,57,1,0,
1,1,14,0,41,0,0,
2,4,60,0,58,0,1,
1,2,138,0,29,0,0,
3,1,98,355,53,0,0,
2,4,22,0,64,0,0,
2,1,49,0,49,0,1,
1,2,102,0,38,0,1,
2,4,45,0,56,0,1,
3,4,82,0,56,0,0,
2,3,81,0,52,1,0,
2,1,35,0,64,1,0,
2,2,59,0,53,0,0,
2,3,52,0,29,0,0,
1,3,84,166,48,0,0,
2,1,85,100,32,0,0,
1,1,65,0,54,0,1,
2,2,89,314,37,0,1,
1,4,109,0,47,0,0,
1,1,81,0,37,0,0,
3,1,38,108,64,0,0,
1,2,72,0,43,0,0,
2,4,78,119,33,1,0,
2,2,172,0,26,0,0,
1,3,71,106,42,1,0,
3,1,165,0,54,0,1,
1,2,120,0,41,0,1,
1,1,39,0,55,0,1,
2,3,23,0,65,0,1,
3,2,135,91,50,0,0,
1,2,12,76,55,0,1,
2,2,92,0,62,0,0,
3,2,192,0,53,0,0,
1,4,42,0,32,0,1,
3,3,158,0,56,0,0,
3,3,194,587,54,1,1,
1,2,160,0,44,1,0,
1,2,98,0,48,0,0,
1,2,164,0,46,0,1,
1,2,42,0,45,1,0,
3,3,202,0,45,0,0,
1,4,10,0,58,0,0,
2,4,31,0,29,0,0,
1,4,58,0,55,0,1,
2,4,65,0,55,0,0,
3,1,98,0,41,0,1,
1,2,150,0,24,0,0,
3,2,44,0,54,0,0,
3,2,15,0,57,0,1,
1,2,82,0,30,0,0,
3,3,61,0,42,0,0,
2,1,38,0,29,0,0,
3,4,39,0,29,0,0,
1,1,173,0,31,0,0,
1,4,8,0,47,0,0,
1,3,51,214,36,0,0,
3,4,62,82,52,0,0,
2,4,34,0,54,0,0,
2,3,132,307,55,0,0,
3,4,44,0,53,0,0,
1,1,162,0,52,0,0,
1,3,64,0,64,0,0,
3,1,111,0,54,0,1,
3,2,41,0,32,0,0,
3,4,52,0,63,0,0,
2,4,65,0,36,0,0,
2,1,130,0,50,0,0,
1,2,45,0,33,0,1,
2,1,35,118,62,0,0,
2,3,65,263,49,0,1,
1,2,38,91,41,0,0,
2,4,42,0,51,0,1,
3,4,45,0,56,0,0,
1,1,145,0,51,0,0,
3,4,33,0,39,0,0,
3,3,60,0,61,0,0,
1,1,45,0,35,0,1,
1,4,72,0,39,1,0,
2,3,34,0,37,0,0,
2,3,23,0,48,0,0,
3,2,45,88,63,0,1,
1,4,28,75,35,0,0,
2,4,81,0,55,0,0,
2,3,72,81,29,0,0,
3,4,49,0,61,0,0,
2,4,31,0,36,0,0,
3,3,63,0,61,0,0,
1,4,150,0,36,1,0,
1,2,142,193,58,0,1,
1,3,74,0,42,0,1,
2,1,24,81,30,0,0,
3,4,29,0,45,0,0,
1,4,79,0,39,0,0,
1,2,94,310,27,0,1,
1,1,121,0,57,1,0,
1,3,54,0,34,0,0,
1,3,73,0,64,0,0,
3,1,71,127,47,0,0,
2,3,29,0,44,0,1,
1,1,93,0,51,0,0,
3,1,73,252,40,0,0,
2,4,19,0,57,0,0,
1,2,58,0,33,1,1,
1,1,39,0,46,0,0,
2,2,23,0,41,1,0,
3,1,29,127,33,0,1,
1,1,155,0,27,0,0,
2,1,90,0,52,1,0,
1,2,113,77,59,0,0,
3,1,42,0,62,0,0,
1,4,30,0,49,0,1,
2,3,19,0,45,0,0,
2,3,124,170,63,0,0,
2,2,30,145,57,0,0,
3,1,28,124,60,1,0,
2,2,15,101,50,0,0,
3,1,70,265,54,0,0,
2,1,10,0,28,0,0,
3,3,22,139,60,0,1,
1,4,70,0,44,0,0,
1,1,61,0,61,0,0,
1,2,161,0,40,1,1,
1,2,29,0,54,0,1,
1,3,35,0,43,0,0,
2,4,48,0,54,0,0,
1,4,44,0,32,0,0,
1,3,88,134,24,0,0,
3,4,40,0,30,0,1,
2,4,21,123,61,0,0,
1,2,58,0,40,0,0,
2,4,59,0,35,0,0,
3,4,74,0,33,0,0,
2,4,84,0,63,0,0,
1,1,58,177,57,0,0,
1,2,154,0,44,0,0,
1,1,185,0,51,0,0,
1,1,78,305,51,0,0,
2,2,55,0,38,0,0,
2,4,30,0,31,0,0,
2,3,74,0,54,0,0,
1,2,118,0,41,0,0,
3,2,182,372,57,0,0,
3,2,82,0,24,0,1,
3,4,29,79,55,0,0,
1,4,120,301,32,0,1,
2,2,53,0,38,0,0,
1,3,43,0,58,0,1,
1,4,59,232,29,0,1,
3,4,84,289,43,1,1,
1,3,161,212,50,0,0,
2,4,21,137,62,0,1,
1,4,63,0,57,0,0,
2,3,172,0,30,0,1,
1,4,51,172,30,0,1,
1,4,24,0,57,0,0,
1,2,95,0,57,0,0,
1,1,59,250,43,0,0,
2,4,51,0,28,1,0,
1,1,28,84,46,0,1,
1,2,154,130,29,0,0,
3,2,15,115,64,0,1,
3,4,55,0,66,0,1,
1,1,149,305,23,0,1,
3,1,79,0,60,0,1,
3,4,68,0,47,0,0,
2,1,78,0,35,0,0,
2,2,34,0,57,1,0,
1,3,195,0,65,1,1,
1,1,184,303,53,0,0,
1,2,85,0,44,0,0,
1,2,200,0,45,0,1,
3,3,64,0,41,0,0,
2,1,88,0,51,1,1,
2,3,42,0,27,0,0,
1,3,91,126,31,0,1,
1,1,38,0,32,1,0,
2,1,28,0,55,0,0,
3,4,32,0,55,1,0,
3,1,31,0,42,0,1,
2,4,22,103,33,0,0,
2,3,95,138,65,0,1,
1,4,74,0,35,0,0,
